t_s,q_rad,v_rad_s,torque_nm
1.5050000000000001,1.0335978219851603,0.13209328079319077,-0.7309271128402477
1.51,1.0342390245116992,0.12824050530779973,-0.7187544808427593
1.5150000000000001,1.0348612963724273,0.12445437214562424,-0.7066912575688037
1.52,1.0354649675439251,0.12073423429956179,-0.6947384685872731
1.5250000000000001,1.036050364746951,0.11707944060517608,-0.6828970689643117
1.53,1.0366178114274482,0.11348933609944677,-0.6711679450464405
1.5350000000000001,1.0371676277392985,0.10996326237006539,-0.6595519162145422
1.54,1.0377001305287756,0.10650055789543758,-0.6480497366089852
1.545,1.0382156333206534,0.1031005583755495,-0.6366620968261135
1.55,1.0387144463059226,0.09976259705385561,-0.625389625586376
1.555,1.0391968763310744,0.09648600503034295,-0.6142328913743504
1.56,1.0396632268889041,0.09327011156592568,-0.6031924040509006
1.565,1.0401137981107957,0.09011424437832229,-0.5922686164377622
1.57,1.0405488867604435,0.087017729929566,-0.5814619258747982
1.575,1.04096878622897,0.08397989370529765,-0.5707726757501914
1.58,1.0413737865314,0.08100006048598875,-0.5602011570038437
1.585,1.041764174304451,0.07807755461024055,-0.5497476096042613
1.59,1.0421402328056024,0.07521170023030388,-0.5394122239991759
1.595,1.0425022419134022,0.07240182155996254,-0.529195142540193
1.6,1.042850478128977,0.06964724311492163,-0.5190964608817217
1.605,1.0431852145787062,0.06694728994584064,-0.509116229354478
1.61,1.0435067210180269,0.06430128786414949,-0.49925445431382315
1.615,1.0438152638363307,0.061708563660784144,-0.48951109946321913
1.62,1.0441111060629207,0.059168445317976874,-0.4798860871530733
1.625,1.0443945073739918,0.05668026221423454,-0.4703792996552363
1.6300000000000001,1.044665724100605,0.054243345322637006,-0.46099058041347496
1.635,1.0449250092376179,0.05185702740258567,-0.45171973527012566
1.6400000000000001,1.0451726124535436,0.049520643185131163,-0.44256653366928167
1.645,1.0454087801013037,0.04723352955200706,-0.4335307098367235
1.6500000000000001,1.0456337552298463,0.04499502570849544,-0.4246119639369319
1.655,1.0458477775965975,0.042804473350248035,-0.4158099632073999
1.6600000000000001,1.0460510836807184,0.040661216824185664,-0.4071243430705743
1.665,1.0462439066971363,0.03856460328359652,-0.3985547082236682
1.67,1.046426476611324,0.036513982837552784,-0.39010063370663617
1.675,1.0465990201547979,0.034508708694763274,-0.3817616659485766
1.68,1.0467617608413078,0.032548137301978246,-0.37353732379285093
1.685,1.046914918983693,0.030631628477061024,-0.36542709950118557
1.69,1.0470587117113772,0.028758545536839503,-0.3574304597370307
1.695,1.0471933529884765,0.02692825541984909,-0.34954684652844625
1.7,1.0473190536324968,0.025140128804077087,-0.3417756782107887
1.705,1.0474360213335958,0.02339354021981703,-0.33411635034948484
1.71,1.0475444606743844,0.02168786815773988,-0.32656823664312784
1.715,1.047644573150246,0.02002249517228763,-0.3191306898072033
1.72,1.0477365571901485,0.01839680798049318,-0.31180304243867984
1.725,1.0478206081779302,0.01681019755632904,-0.30458460786176156
1.73,1.0478969184740337,0.01526205922068574,-0.2974746809550375
1.735,1.047965677437669,0.013751792727079524,-0.29047253896032077
1.74,1.0480270714493851,0.0122788023431873,-0.28357744227341125
1.745,1.0480812839340266,0.010842496928305462,-0.27678863521706376
1.75,1.0481284953840606,0.009442290006827685,-0.2701053467964232
1.7550000000000001,1.0481688833832499,0.008077599837835327,-0.2635267914371622
1.76,1.0482026226306544,0.0067478494808927625,-0.25705216970659306
1.7650000000000001,1.0482298849649452,0.005452466858138458,-0.2506806690180179
1.77,1.048250839389009,0.004190884812761161,-0.24441146431855687
1.7750000000000001,1.0482656520948288,0.0029625411639492352,-0.23824371876069733
1.78,1.0482744864886209,0.0017668787583998246,-0.23217658435784633
1.7850000000000001,1.0482775032162133,0.0006033455184729932,-0.226209202624088
1.79,1.0482748601886487,-0.0005286055129251565,-0.22034070519843865
1.795,1.0482667126079954,-0.001629516130647962,-0.21457021445380958
1.8,1.0482532129933517,-0.002699922928721038,-0.20889684409093906
1.805,1.0482345112070277,-0.0037403572647826517,-0.20331969971752573
1.81,1.0482107544808903,-0.004751345227473107,-0.19783787941280223
1.815,1.048182087442857,-0.005733407606695908,-0.19245047427778825
1.82,1.0481486521435235,-0.006687059866674805,-0.1871565689714507
1.825,1.048110588082915,-0.007612812121732046,-0.18195524223302834
1.83,1.0480680322373412,-0.00851116911471459,-0.17684556739070126
1.835,1.0480211190863513,-0.009382630197996024,-0.17182661285690087
1.84,1.0479699806397664,-0.010227689316983535,-0.16689744261041295
1.845,1.0479147464647862,-0.011046834996060123,-0.1620571166655658
1.85,1.0478555437131518,-0.011840550326893863,-0.15730469152867604
1.855,1.0477924971483565,-0.012609312959046902,-0.15263922064200053
1.86,1.0477257291728925,-0.013353595092818334,-0.14805975481540562
1.865,1.0476553598555212,-0.014073863474256135,-0.14356534264594734
1.87,1.04758150695856,-0.014770579392274488,-0.13915503092562814
1.875,1.0475042859651709,-0.015444198677814217,-0.13482786503746877
1.8800000000000001,1.047423810106646,-0.01609517170498484,-0.13058288934017975
1.885,1.0473401903896753,-0.016723943394128263,-0.12641914754158182
1.8900000000000001,1.0472535356235915,-0.01733095321674498,-0.12233568306101214
1.895,1.0471639524475804,-0.01791663520222492,-0.11833153938090743
1.9000000000000001,1.0470715453578487,-0.01848141794632612,-0.11440576038775023
1.905,1.046976416734742,-0.019025724621345382,-0.11055739070262086
1.9100000000000001,1.0468786668698022,-0.01954997298792647,-0.10678547600149503
